file_name,needle_tip_x,needle_tip_y,dial_center_x,dial_center_y
v_0001_f_0000_rgba.png,11,83,60,63
v_0002_f_0000_rgba.png,23,101,65,61
v_0003_f_0000_rgba.png,12,86,60,64
v_0004_f_0000_rgba.png,9,76,66,61
v_0005_f_0000_rgba.png,38,114,63,66
v_0006_f_0000_rgba.png,20,99,63,62
v_0007_f_0000_rgba.png,10,81,64,65
v_0008_f_0000_rgba.png,16,94,62,63
v_0009_f_0000_rgba.png,11,81,64,65
v_0010_f_0000_rgba.png,11,76,67,65
v_0011_f_0000_rgba.png,21,102,60,64
v_0012_f_0000_rgba.png,9,74,63,61
v_0013_f_0000_rgba.png,12,87,63,62
v_0014_f_0000_rgba.png,26,104,66,65
v_0015_f_0000_rgba.png,10,81,63,65
v_0016_f_0000_rgba.png,11,82,64,63
v_0017_f_0000_rgba.png,10,80,63,63
v_0018_f_0000_rgba.png,12,85,66,64
v_0019_f_0000_rgba.png,29,108,61,64
v_0020_f_0000_rgba.png,28,106,64,61
v_0021_f_0000_rgba.png,13,88,62,62
v_0022_f_0000_rgba.png,19,97,66,63
v_0023_f_0000_rgba.png,12,85,64,63
v_0024_f_0000_rgba.png,11,80,64,63
v_0025_f_0000_rgba.png,41,115,66,64
v_0026_f_0000_rgba.png,9,70,66,64
v_0027_f_0000_rgba.png,12,85,63,65
v_0028_f_0000_rgba.png,9,78,63,64
v_0029_f_0000_rgba.png,12,84,63,64
v_0030_f_0000_rgba.png,39,114,61,65
v_0031_f_0000_rgba.png,30,109,61,64
v_0032_f_0000_rgba.png,39,112,66,61
v_0033_f_0000_rgba.png,15,94,61,64
v_0034_f_0000_rgba.png,38,114,62,64
v_0035_f_0000_rgba.png,25,104,60,65
v_0036_f_0000_rgba.png,9,76,66,62
v_0037_f_0000_rgba.png,26,105,63,62
v_0038_f_0000_rgba.png,13,88,62,64
v_0039_f_0000_rgba.png,7,64,62,61
v_0040_f_0000_rgba.png,22,102,60,63
v_0041_f_0000_rgba.png,32,110,60,62
v_0042_f_0000_rgba.png,21,98,64,62
v_0043_f_0000_rgba.png,25,105,61,64
v_0044_f_0000_rgba.png,26,104,66,61
v_0045_f_0000_rgba.png,18,96,62,63
v_0046_f_0000_rgba.png,30,107,65,63
v_0047_f_0000_rgba.png,20,98,66,64
v_0048_f_0000_rgba.png,38,112,66,63
v_0049_f_0000_rgba.png,11,83,62,61
v_0050_f_0000_rgba.png,17,93,62,65
v_0051_f_0000_rgba.png,12,84,65,63
v_0052_f_0000_rgba.png,7,69,61,63
v_0053_f_0000_rgba.png,15,91,65,63
v_0054_f_0000_rgba.png,13,87,66,64
v_0055_f_0000_rgba.png,25,105,62,64
v_0056_f_0000_rgba.png,20,99,64,64
v_0057_f_0000_rgba.png,32,110,65,65
v_0058_f_0000_rgba.png,8,75,62,63
v_0059_f_0000_rgba.png,20,97,62,60
v_0060_f_0000_rgba.png,15,91,64,60
v_0061_f_0000_rgba.png,32,108,65,62
v_0062_f_0000_rgba.png,10,79,62,65
v_0063_f_0000_rgba.png,21,100,60,65
v_0064_f_0000_rgba.png,8,65,64,62
v_0065_f_0000_rgba.png,25,103,64,62
v_0066_f_0000_rgba.png,10,78,65,62
v_0067_f_0000_rgba.png,7,62,61,64
v_0068_f_0000_rgba.png,11,79,64,62
v_0069_f_0000_rgba.png,19,98,62,62
v_0070_f_0000_rgba.png,28,106,63,62
v_0071_f_0000_rgba.png,23,102,63,64
v_0072_f_0000_rgba.png,12,86,67,63
v_0073_f_0000_rgba.png,12,87,63,64
v_0074_f_0000_rgba.png,14,91,60,61
v_0075_f_0000_rgba.png,16,93,60,63
v_0076_f_0000_rgba.png,12,86,64,61
v_0077_f_0000_rgba.png,7,61,62,64
v_0078_f_0000_rgba.png,28,106,61,65
v_0079_f_0000_rgba.png,25,103,65,64
v_0080_f_0000_rgba.png,15,91,65,66
v_0081_f_0000_rgba.png,19,98,64,64
v_0082_f_0000_rgba.png,28,107,62,64
v_0083_f_0000_rgba.png,9,79,62,65
v_0084_f_0000_rgba.png,28,107,67,65
v_0085_f_0000_rgba.png,11,85,60,65
v_0086_f_0000_rgba.png,8,65,62,63
v_0087_f_0000_rgba.png,17,93,66,63
v_0088_f_0000_rgba.png,26,105,62,64
v_0089_f_0000_rgba.png,7,58,62,61
v_0090_f_0000_rgba.png,24,102,66,61
v_0091_f_0000_rgba.png,7,64,63,63
v_0092_f_0000_rgba.png,9,76,64,63
v_0093_f_0000_rgba.png,17,95,66,64
v_0094_f_0000_rgba.png,7,62,60,66
v_0095_f_0000_rgba.png,25,104,65,62
v_0096_f_0000_rgba.png,11,83,61,63
v_0097_f_0000_rgba.png,22,101,61,63
v_0098_f_0000_rgba.png,11,82,63,64
v_0099_f_0000_rgba.png,8,68,62,62
v_0100_f_0000_rgba.png,8,58,64,63
v_0101_f_0000_rgba.png,8,70,65,65
v_0102_f_0000_rgba.png,8,58,65,63
v_0103_f_0000_rgba.png,8,63,67,64
v_0104_f_0000_rgba.png,10,79,64,64
v_0105_f_0000_rgba.png,9,78,63,64
v_0106_f_0000_rgba.png,9,78,65,63
v_0107_f_0000_rgba.png,8,66,64,62
v_0108_f_0000_rgba.png,20,99,65,63
v_0109_f_0000_rgba.png,17,96,61,66
v_0110_f_0000_rgba.png,8,69,64,61
v_0111_f_0000_rgba.png,14,89,60,63
v_0112_f_0000_rgba.png,11,83,63,64
v_0113_f_0000_rgba.png,8,71,64,62
v_0114_f_0000_rgba.png,19,97,62,64
v_0115_f_0000_rgba.png,9,71,66,64
v_0116_f_0000_rgba.png,15,91,62,65
v_0117_f_0000_rgba.png,10,79,61,65
v_0118_f_0000_rgba.png,21,100,62,65
v_0119_f_0000_rgba.png,8,65,65,61
v_0120_f_0000_rgba.png,10,82,63,64
v_0121_f_0000_rgba.png,8,60,64,60
v_0122_f_0000_rgba.png,14,89,63,61
v_0123_f_0000_rgba.png,11,49,67,62
v_0124_f_0000_rgba.png,23,103,67,66
v_0125_f_0000_rgba.png,9,52,63,64
v_0126_f_0000_rgba.png,9,77,62,64
v_0127_f_0000_rgba.png,10,49,65,62
v_0128_f_0000_rgba.png,11,83,64,65
v_0129_f_0000_rgba.png,14,87,65,61
v_0130_f_0000_rgba.png,8,69,66,66
v_0131_f_0000_rgba.png,10,83,61,66
v_0132_f_0000_rgba.png,9,53,66,63
v_0133_f_0000_rgba.png,16,45,64,64
v_0134_f_0000_rgba.png,8,50,60,62
v_0135_f_0000_rgba.png,11,83,64,60
v_0136_f_0000_rgba.png,9,54,64,64
v_0137_f_0000_rgba.png,10,50,64,63
v_0138_f_0000_rgba.png,9,79,61,62
v_0139_f_0000_rgba.png,16,92,65,62
v_0140_f_0000_rgba.png,13,88,66,65
v_0141_f_0000_rgba.png,11,84,62,65
v_0142_f_0000_rgba.png,14,90,62,63
v_0143_f_0000_rgba.png,11,78,67,61
v_0144_f_0000_rgba.png,8,57,64,65
v_0145_f_0000_rgba.png,8,69,66,65
v_0146_f_0000_rgba.png,14,90,65,66
v_0147_f_0000_rgba.png,7,64,62,64
v_0148_f_0000_rgba.png,10,46,62,64
v_0149_f_0000_rgba.png,10,48,64,64
v_0150_f_0000_rgba.png,7,65,63,65
v_0151_f_0000_rgba.png,8,52,61,62
v_0152_f_0000_rgba.png,9,71,66,62
v_0153_f_0000_rgba.png,8,65,64,66
v_0154_f_0000_rgba.png,13,43,65,62
v_0155_f_0000_rgba.png,8,65,64,65
v_0156_f_0000_rgba.png,7,70,62,66
v_0157_f_0000_rgba.png,12,85,63,61
v_0158_f_0000_rgba.png,11,83,60,63
v_0159_f_0000_rgba.png,9,52,64,64
v_0160_f_0000_rgba.png,9,51,64,64
v_0161_f_0000_rgba.png,8,66,64,65
v_0162_f_0000_rgba.png,9,51,63,65
v_0163_f_0000_rgba.png,11,79,66,61
v_0164_f_0000_rgba.png,12,41,62,63
v_0165_f_0000_rgba.png,8,68,64,62
v_0166_f_0000_rgba.png,9,73,65,64
v_0167_f_0000_rgba.png,9,52,66,63
v_0168_f_0000_rgba.png,10,47,67,64
v_0169_f_0000_rgba.png,7,64,63,65
v_0170_f_0000_rgba.png,8,55,61,65
v_0171_f_0000_rgba.png,7,66,62,63
v_0172_f_0000_rgba.png,8,55,62,64
v_0173_f_0000_rgba.png,8,55,64,61
v_0174_f_0000_rgba.png,8,72,60,65
v_0175_f_0000_rgba.png,9,70,66,60
v_0176_f_0000_rgba.png,9,51,61,65
v_0177_f_0000_rgba.png,7,65,60,63
v_0178_f_0000_rgba.png,7,66,63,61
v_0179_f_0000_rgba.png,8,59,65,65
v_0180_f_0000_rgba.png,14,38,66,64
v_0181_f_0000_rgba.png,7,62,62,64
v_0182_f_0000_rgba.png,13,38,63,63
v_0183_f_0000_rgba.png,8,69,65,63
v_0184_f_0000_rgba.png,7,57,62,65
v_0185_f_0000_rgba.png,10,80,60,65
v_0186_f_0000_rgba.png,8,57,62,62
v_0187_f_0000_rgba.png,8,58,63,62
v_0188_f_0000_rgba.png,11,40,61,62
v_0189_f_0000_rgba.png,8,58,62,61
v_0190_f_0000_rgba.png,8,63,65,64
v_0191_f_0000_rgba.png,14,38,61,64
v_0192_f_0000_rgba.png,8,53,62,62
v_0193_f_0000_rgba.png,8,71,62,63
v_0194_f_0000_rgba.png,7,65,62,64
v_0195_f_0000_rgba.png,8,58,67,63
v_0196_f_0000_rgba.png,8,59,62,66
v_0197_f_0000_rgba.png,9,54,65,61
v_0198_f_0000_rgba.png,8,57,64,64
v_0199_f_0000_rgba.png,12,43,64,62
v_0200_f_0000_rgba.png,13,42,66,66
v_0201_f_0000_rgba.png,12,42,64,65
v_0202_f_0000_rgba.png,11,45,64,65
v_0203_f_0000_rgba.png,14,38,63,63
v_0204_f_0000_rgba.png,7,65,62,64
v_0205_f_0000_rgba.png,9,75,64,65
v_0206_f_0000_rgba.png,9,52,65,63
v_0207_f_0000_rgba.png,11,47,65,65
v_0208_f_0000_rgba.png,10,49,64,64
v_0209_f_0000_rgba.png,7,58,62,62
